id,studioId,ragioneSociale,email,partitaIva,codiceFiscale,telefono,pec,sedeLegale,sedeOperativa,indirizzo,cap,citta,provincia,nazione,tipologia,referente,attivo
b928b4db-aba8-4304-8760-8d6f4957997a,,Alfa Tecnologie SRL,contatto@alfatec.it,01234567890,01234567890,+39 02 1111 1111,alfatec@pec.it,"Via Roma 1, 20100 Milano","Via Torino 12, 20123 Milano",Via Roma 1,20100,Milano,MI,IT,srl,Marco Bianchi,true
52024d49-74af-4581-9af6-1ab242015d70,,Beta Logistica SPA,info@betalogistica.it,12345678901,12345678901,+39 06 2222 2222,betalogistica@pec.it,"Viale Europa 45, 00144 Roma","Via Ostiense 90, 00154 Roma",Viale Europa 45,00144,Roma,RM,IT,spa,Giulia Conti,true
15d826bd-1493-4851-bbc2-559ae96fde3e,,Gamma Consulting SNC,amministrazione@gammaconsulting.it,23456789012,23456789012,+39 051 333333,gammaconsulting@pec.it,"Via Indipendenza 10, 40121 Bologna","Via Stalingrado 55, 40128 Bologna",Via Indipendenza 10,40121,Bologna,BO,IT,snc,Sara Leone,true
5ffc32d8-afb3-4480-9716-395269c347a2,,Delta Impianti SAS,ufficio@deltaimpianti.it,34567890123,34567890123,+39 040 444444,deltaimpianti@pec.it,"Via Miramare 22, 34123 Trieste","Via Flavia 7, 34147 Trieste",Via Miramare 22,34123,Trieste,TS,IT,sas,Paolo Gallo,true
2c7eb31c-be12-4fd4-93fb-2c72d331fbb0,,Epsilon Agricoltura SRL,info@epsilonagri.it,45678901234,45678901234,+39 0571 555555,epsilonagri@pec.it,"Via del Campo 8, 56025 Pontedera","Via del Campo 8, 56025 Pontedera",Via del Campo 8,56025,Pontedera,PI,IT,srl_agricola,Elena Rinaldi,true
0f0641c3-c7c9-4199-b1c4-b9242a1859b4,,Zeta Servizi SCpA,contatti@zetaservizi.it,56789012345,56789012345,+39 011 666666,zetaservizi@pec.it,"Corso Francia 100, 10138 Torino","Corso Regio Parco 20, 10152 Torino",Corso Francia 100,10138,Torino,TO,IT,scpa,Luca Ferri,true
fcfea716-afbc-4e9f-8c48-4d45a74007d8,,Eta Retail SRL,info@etaretail.it,67890123456,67890123456,+39 081 777777,etaretail@pec.it,"Via Toledo 120, 80134 Napoli","Via Marina 15, 80133 Napoli",Via Toledo 120,80134,Napoli,NA,IT,srl,Chiara Lombardi,false
379ede68-8c8f-4a25-869d-d5af5594694a,,Theta Energia SPA,amministrazione@thetaenergia.it,78901234567,78901234567,+39 055 888888,thetaenergia@pec.it,"Viale Matteotti 50, 50121 Firenze","Via di Novoli 85, 50127 Firenze",Viale Matteotti 50,50121,Firenze,FI,IT,spa,Davide Ricci,true
815e5f67-30dc-49b4-84be-4f9992805438,,Iota Trading SRL,contact@iotatrading.it,89012345678,89012345678,+39 070 999999,iotatrading@pec.it,"Via Roma 77, 09124 Cagliari","Via Roma 77, 09124 Cagliari",Via Roma 77,09124,Cagliari,CA,IT,srl,Marta Fabbri,true
ecdebeb0-d1b1-4e42-ad19-cf0f7f876285,,Kappa Costruzioni SRL,ufficio@kappacostruzioni.it,90123456789,90123456789,+39 045 121212,kappacostruzioni@pec.it,"Via Palladio 33, 37121 Verona","Via Palladio 33, 37121 Verona",Via Palladio 33,37121,Verona,VR,IT,srl,Andrea De Luca,true
0914d37d-912d-4415-abf7-6189626352f6,,Lambda Produzioni SRL,info@lambdaproduzioni.it,11223344556,11223344556,+39 041 232323,lambdaproduzioni@pec.it,"Campo San Polo 5, 30125 Venezia","Via delle Industrie 18, 30175 Venezia",Campo San Polo 5,30125,Venezia,VE,IT,srl,Silvia Greco,true
9326e262-c241-400a-8f02-9edc6ea68702,,Mu Artigiana Impresa,info@muartigiana.it,22334455667,22334455667,+39 091 343434,muartigiana@pec.it,"Via Libertà 210, 90143 Palermo","Via Libertà 210, 90143 Palermo",Via Libertà 210,90143,Palermo,PA,IT,impresa_individuale,Francesca Moretti,true
